index,drama_title,drama_directors,drama_casts,drama_rate, drama_url,drama_country,drama_language_list,drama_time
1,五月天人生无限公司,陈奕仁,"温尚翊,石锦航,蔡升晏,刘冠佑,陈信宏",8.7,https://movie.douban.com/subject/30310435/, 台湾,,2019
2,二十二,郭柯,"韦绍兰,罗善学",8.7,https://movie.douban.com/subject/26430107/, 中国大陆,,2015
3,四个春天,陆庆屹,"陆运坤,李桂贤",8.9,https://movie.douban.com/subject/27191492/, 中国大陆,,2017
4,人生果实,伏原健之,"津端修一,津端英子,树木希林",9.6,https://movie.douban.com/subject/26874505/, 日本,,2017
5,徒手攀岩,"金国威,伊丽莎白·柴·瓦沙瑞莉","亚历克斯·霍诺尔德,金国威,汤米·考德威尔",9.1,https://movie.douban.com/subject/30167509/, 美国,,2018
6,早餐中国,"王圣志,沈宏非",,7.8,https://movie.douban.com/subject/33393084/, 中国大陆, 汉语普通话,2019
7,人生一串 第一季,张岳明,,9.0,https://movie.douban.com/subject/27040844/, 中国大陆, 汉语普通话,2018
8,阿波罗11号,托德·道格拉斯·米勒,"巴兹·奥德林,琼·安·阿彻,珍妮特·阿姆斯特朗,尼尔·阿姆斯特朗,约翰尼·卡森",8.8,https://movie.douban.com/subject/30390701/, 美国,,2019
9,张艺谋和他的“影”,汪鹏,"张艺谋,赵小丁,陈敏正,马光荣,谷轩昭",7.1,https://movie.douban.com/subject/30255138/, 中国大陆,,2018
10,我在故宫修文物,"叶君,萧寒","王津,亓昊楠,屈峰,王五胜,王有亮",9.4,https://movie.douban.com/subject/26703457/, 中国大陆, 汉语普通话,2016
11,尺八·一声一世,聿馨,"佐藤康夫,小凑昭尚,蔡鸿文,徐浩鹏,海山",,https://movie.douban.com/subject/27185648/, 中国大陆,,2019
12,风味人间,"陈晓卿,陈磊","李立宏,陈晓卿,扶霞·邓洛普",9.1,https://movie.douban.com/subject/30156039/, 中国大陆, 汉语普通话,2018
13,我们诞生在中国,陆川,"周迅,约翰·卡拉辛斯基,Jo Frost",8.0,https://movie.douban.com/subject/26376454/, 美国 / 英国 / 中国大陆,,2016
14,街头绝味 第一季,,,7.6,https://movie.douban.com/subject/33394370/, 美国, 英语,2019
15,脸庞，村庄,"阿涅斯·瓦尔达,JR","阿涅斯·瓦尔达,JR,让-吕克·戈达尔",9.1,https://movie.douban.com/subject/26764928/, 法国,,2017
16,地球之盐,"维姆·文德斯,朱利安·诺里贝罗·萨尔加多","塞巴斯蒂昂·萨尔加多,维姆·文德斯,朱利安·诺里贝罗·萨尔加多",9.2,https://movie.douban.com/subject/10741871/, 法国 / 意大利 / 巴西,,2014
17,舌尖上的中国 第一季,"陈晓卿,任长箴,程工",李立宏,9.4,https://movie.douban.com/subject/10606004/, 中国大陆, 汉语普通话,2012
18,我们的星球,艾雷斯泰·法瑟吉尔,戴维·阿滕伯勒,9.8,https://movie.douban.com/subject/30374707/, 美国 / 英国, 英语,2019
19,我在故宫修文物,萧寒,"王津,亓昊楠,屈峰,王五胜,王有亮",7.6,https://movie.douban.com/subject/26910059/, 中国大陆,,2016
20,人间世 第二季,"秦博,范士广,谢抒豪",,9.6,https://movie.douban.com/subject/27199784/, 中国大陆, 汉语普通话,2019
21,二十二,郭柯,"韦绍兰,罗善学",8.7,https://movie.douban.com/subject/26430107/, 中国大陆,,2015
22,四个春天,陆庆屹,"陆运坤,李桂贤",8.9,https://movie.douban.com/subject/27191492/, 中国大陆,,2017
23,人生果实,伏原健之,"津端修一,津端英子,树木希林",9.6,https://movie.douban.com/subject/26874505/, 日本,,2017
24,徒手攀岩,"金国威,伊丽莎白·柴·瓦沙瑞莉","亚历克斯·霍诺尔德,金国威,汤米·考德威尔",9.1,https://movie.douban.com/subject/30167509/, 美国,,2018
25,早餐中国,"王圣志,沈宏非",,7.8,https://movie.douban.com/subject/33393084/, 中国大陆, 汉语普通话,2019
26,人生一串 第一季,张岳明,,9.0,https://movie.douban.com/subject/27040844/, 中国大陆, 汉语普通话,2018
27,阿波罗11号,托德·道格拉斯·米勒,"巴兹·奥德林,琼·安·阿彻,珍妮特·阿姆斯特朗,尼尔·阿姆斯特朗,约翰尼·卡森",8.8,https://movie.douban.com/subject/30390701/, 美国,,2019
28,张艺谋和他的“影”,汪鹏,"张艺谋,赵小丁,陈敏正,马光荣,谷轩昭",7.1,https://movie.douban.com/subject/30255138/, 中国大陆,,2018
29,我在故宫修文物,"叶君,萧寒","王津,亓昊楠,屈峰,王五胜,王有亮",9.4,https://movie.douban.com/subject/26703457/, 中国大陆, 汉语普通话,2016
30,尺八·一声一世,聿馨,"佐藤康夫,小凑昭尚,蔡鸿文,徐浩鹏,海山",,https://movie.douban.com/subject/27185648/, 中国大陆,,2019
31,风味人间,"陈晓卿,陈磊","李立宏,陈晓卿,扶霞·邓洛普",9.1,https://movie.douban.com/subject/30156039/, 中国大陆, 汉语普通话,2018
32,我们诞生在中国,陆川,"周迅,约翰·卡拉辛斯基,Jo Frost",8.0,https://movie.douban.com/subject/26376454/, 美国 / 英国 / 中国大陆,,2016
33,街头绝味 第一季,,,7.6,https://movie.douban.com/subject/33394370/, 美国, 英语,2019
34,脸庞，村庄,"阿涅斯·瓦尔达,JR","阿涅斯·瓦尔达,JR,让-吕克·戈达尔",9.1,https://movie.douban.com/subject/26764928/, 法国,,2017
35,地球之盐,"维姆·文德斯,朱利安·诺里贝罗·萨尔加多","塞巴斯蒂昂·萨尔加多,维姆·文德斯,朱利安·诺里贝罗·萨尔加多",9.2,https://movie.douban.com/subject/10741871/, 法国 / 意大利 / 巴西,,2014
36,舌尖上的中国 第一季,"陈晓卿,任长箴,程工",李立宏,9.4,https://movie.douban.com/subject/10606004/, 中国大陆, 汉语普通话,2012
37,我们的星球,艾雷斯泰·法瑟吉尔,戴维·阿滕伯勒,9.8,https://movie.douban.com/subject/30374707/, 美国 / 英国, 英语,2019
38,我在故宫修文物,萧寒,"王津,亓昊楠,屈峰,王五胜,王有亮",7.6,https://movie.douban.com/subject/26910059/, 中国大陆,,2016
39,人间世 第二季,"秦博,范士广,谢抒豪",,9.6,https://movie.douban.com/subject/27199784/, 中国大陆, 汉语普通话,2019
40,海昏侯,"张力,金蓓","娄硕,马昆,魏至强,王明,吴宁",8.7,https://movie.douban.com/subject/33377603/, 中国大陆, 汉语普通话,2019
41,四个春天,陆庆屹,"陆运坤,李桂贤",8.9,https://movie.douban.com/subject/27191492/, 中国大陆,,2017
42,人生果实,伏原健之,"津端修一,津端英子,树木希林",9.6,https://movie.douban.com/subject/26874505/, 日本,,2017
43,徒手攀岩,"金国威,伊丽莎白·柴·瓦沙瑞莉","亚历克斯·霍诺尔德,金国威,汤米·考德威尔",9.1,https://movie.douban.com/subject/30167509/, 美国,,2018
44,早餐中国,"王圣志,沈宏非",,7.8,https://movie.douban.com/subject/33393084/, 中国大陆, 汉语普通话,2019
45,人生一串 第一季,张岳明,,9.0,https://movie.douban.com/subject/27040844/, 中国大陆, 汉语普通话,2018
46,阿波罗11号,托德·道格拉斯·米勒,"巴兹·奥德林,琼·安·阿彻,珍妮特·阿姆斯特朗,尼尔·阿姆斯特朗,约翰尼·卡森",8.8,https://movie.douban.com/subject/30390701/, 美国,,2019
47,张艺谋和他的“影”,汪鹏,"张艺谋,赵小丁,陈敏正,马光荣,谷轩昭",7.1,https://movie.douban.com/subject/30255138/, 中国大陆,,2018
48,我在故宫修文物,"叶君,萧寒","王津,亓昊楠,屈峰,王五胜,王有亮",9.4,https://movie.douban.com/subject/26703457/, 中国大陆, 汉语普通话,2016
49,尺八·一声一世,聿馨,"佐藤康夫,小凑昭尚,蔡鸿文,徐浩鹏,海山",,https://movie.douban.com/subject/27185648/, 中国大陆,,2019
50,风味人间,"陈晓卿,陈磊","李立宏,陈晓卿,扶霞·邓洛普",9.1,https://movie.douban.com/subject/30156039/, 中国大陆, 汉语普通话,2018
51,我们诞生在中国,陆川,"周迅,约翰·卡拉辛斯基,Jo Frost",8.0,https://movie.douban.com/subject/26376454/, 美国 / 英国 / 中国大陆,,2016
52,街头绝味 第一季,,,7.6,https://movie.douban.com/subject/33394370/, 美国, 英语,2019
53,脸庞，村庄,"阿涅斯·瓦尔达,JR","阿涅斯·瓦尔达,JR,让-吕克·戈达尔",9.1,https://movie.douban.com/subject/26764928/, 法国,,2017
54,地球之盐,"维姆·文德斯,朱利安·诺里贝罗·萨尔加多","塞巴斯蒂昂·萨尔加多,维姆·文德斯,朱利安·诺里贝罗·萨尔加多",9.2,https://movie.douban.com/subject/10741871/, 法国 / 意大利 / 巴西,,2014
55,舌尖上的中国 第一季,"陈晓卿,任长箴,程工",李立宏,9.4,https://movie.douban.com/subject/10606004/, 中国大陆, 汉语普通话,2012
56,我们的星球,艾雷斯泰·法瑟吉尔,戴维·阿滕伯勒,9.8,https://movie.douban.com/subject/30374707/, 美国 / 英国, 英语,2019
57,我在故宫修文物,萧寒,"王津,亓昊楠,屈峰,王五胜,王有亮",7.6,https://movie.douban.com/subject/26910059/, 中国大陆,,2016
58,人间世 第二季,"秦博,范士广,谢抒豪",,9.6,https://movie.douban.com/subject/27199784/, 中国大陆, 汉语普通话,2019
59,海昏侯,"张力,金蓓","娄硕,马昆,魏至强,王明,吴宁",8.7,https://movie.douban.com/subject/33377603/, 中国大陆, 汉语普通话,2019
60,港珠澳大桥,闫东,,,https://movie.douban.com/subject/30230160/, 中国大陆 / 香港 / 澳门,,2019
61,人生果实,伏原健之,"津端修一,津端英子,树木希林",9.6,https://movie.douban.com/subject/26874505/, 日本,,2017
62,徒手攀岩,"金国威,伊丽莎白·柴·瓦沙瑞莉","亚历克斯·霍诺尔德,金国威,汤米·考德威尔",9.1,https://movie.douban.com/subject/30167509/, 美国,,2018
63,早餐中国,"王圣志,沈宏非",,7.8,https://movie.douban.com/subject/33393084/, 中国大陆, 汉语普通话,2019
64,人生一串 第一季,张岳明,,9.0,https://movie.douban.com/subject/27040844/, 中国大陆, 汉语普通话,2018
65,阿波罗11号,托德·道格拉斯·米勒,"巴兹·奥德林,琼·安·阿彻,珍妮特·阿姆斯特朗,尼尔·阿姆斯特朗,约翰尼·卡森",8.8,https://movie.douban.com/subject/30390701/, 美国,,2019
66,张艺谋和他的“影”,汪鹏,"张艺谋,赵小丁,陈敏正,马光荣,谷轩昭",7.1,https://movie.douban.com/subject/30255138/, 中国大陆,,2018
67,我在故宫修文物,"叶君,萧寒","王津,亓昊楠,屈峰,王五胜,王有亮",9.4,https://movie.douban.com/subject/26703457/, 中国大陆, 汉语普通话,2016
68,尺八·一声一世,聿馨,"佐藤康夫,小凑昭尚,蔡鸿文,徐浩鹏,海山",,https://movie.douban.com/subject/27185648/, 中国大陆,,2019
69,风味人间,"陈晓卿,陈磊","李立宏,陈晓卿,扶霞·邓洛普",9.1,https://movie.douban.com/subject/30156039/, 中国大陆, 汉语普通话,2018
70,我们诞生在中国,陆川,"周迅,约翰·卡拉辛斯基,Jo Frost",8.0,https://movie.douban.com/subject/26376454/, 美国 / 英国 / 中国大陆,,2016
71,街头绝味 第一季,,,7.6,https://movie.douban.com/subject/33394370/, 美国, 英语,2019
72,脸庞，村庄,"阿涅斯·瓦尔达,JR","阿涅斯·瓦尔达,JR,让-吕克·戈达尔",9.1,https://movie.douban.com/subject/26764928/, 法国,,2017
73,地球之盐,"维姆·文德斯,朱利安·诺里贝罗·萨尔加多","塞巴斯蒂昂·萨尔加多,维姆·文德斯,朱利安·诺里贝罗·萨尔加多",9.2,https://movie.douban.com/subject/10741871/, 法国 / 意大利 / 巴西,,2014
74,舌尖上的中国 第一季,"陈晓卿,任长箴,程工",李立宏,9.4,https://movie.douban.com/subject/10606004/, 中国大陆, 汉语普通话,2012
75,我们的星球,艾雷斯泰·法瑟吉尔,戴维·阿滕伯勒,9.8,https://movie.douban.com/subject/30374707/, 美国 / 英国, 英语,2019
76,我在故宫修文物,萧寒,"王津,亓昊楠,屈峰,王五胜,王有亮",7.6,https://movie.douban.com/subject/26910059/, 中国大陆,,2016
77,人间世 第二季,"秦博,范士广,谢抒豪",,9.6,https://movie.douban.com/subject/27199784/, 中国大陆, 汉语普通话,2019
78,海昏侯,"张力,金蓓","娄硕,马昆,魏至强,王明,吴宁",8.7,https://movie.douban.com/subject/33377603/, 中国大陆, 汉语普通话,2019
79,港珠澳大桥,闫东,,,https://movie.douban.com/subject/30230160/, 中国大陆 / 香港 / 澳门,,2019
80,寿司之神,大卫·贾柏,"小野二郎 ,小野祯一",8.7,https://movie.douban.com/subject/6146955/, 美国,,2011
81,徒手攀岩,"金国威,伊丽莎白·柴·瓦沙瑞莉","亚历克斯·霍诺尔德,金国威,汤米·考德威尔",9.1,https://movie.douban.com/subject/30167509/, 美国,,2018
82,早餐中国,"王圣志,沈宏非",,7.8,https://movie.douban.com/subject/33393084/, 中国大陆, 汉语普通话,2019
83,人生一串 第一季,张岳明,,9.0,https://movie.douban.com/subject/27040844/, 中国大陆, 汉语普通话,2018
84,阿波罗11号,托德·道格拉斯·米勒,"巴兹·奥德林,琼·安·阿彻,珍妮特·阿姆斯特朗,尼尔·阿姆斯特朗,约翰尼·卡森",8.8,https://movie.douban.com/subject/30390701/, 美国,,2019
85,张艺谋和他的“影”,汪鹏,"张艺谋,赵小丁,陈敏正,马光荣,谷轩昭",7.1,https://movie.douban.com/subject/30255138/, 中国大陆,,2018
86,我在故宫修文物,"叶君,萧寒","王津,亓昊楠,屈峰,王五胜,王有亮",9.4,https://movie.douban.com/subject/26703457/, 中国大陆, 汉语普通话,2016
87,尺八·一声一世,聿馨,"佐藤康夫,小凑昭尚,蔡鸿文,徐浩鹏,海山",,https://movie.douban.com/subject/27185648/, 中国大陆,,2019
88,风味人间,"陈晓卿,陈磊","李立宏,陈晓卿,扶霞·邓洛普",9.1,https://movie.douban.com/subject/30156039/, 中国大陆, 汉语普通话,2018
89,我们诞生在中国,陆川,"周迅,约翰·卡拉辛斯基,Jo Frost",8.0,https://movie.douban.com/subject/26376454/, 美国 / 英国 / 中国大陆,,2016
90,街头绝味 第一季,,,7.6,https://movie.douban.com/subject/33394370/, 美国, 英语,2019
91,脸庞，村庄,"阿涅斯·瓦尔达,JR","阿涅斯·瓦尔达,JR,让-吕克·戈达尔",9.1,https://movie.douban.com/subject/26764928/, 法国,,2017
92,地球之盐,"维姆·文德斯,朱利安·诺里贝罗·萨尔加多","塞巴斯蒂昂·萨尔加多,维姆·文德斯,朱利安·诺里贝罗·萨尔加多",9.2,https://movie.douban.com/subject/10741871/, 法国 / 意大利 / 巴西,,2014
93,舌尖上的中国 第一季,"陈晓卿,任长箴,程工",李立宏,9.4,https://movie.douban.com/subject/10606004/, 中国大陆, 汉语普通话,2012
94,我们的星球,艾雷斯泰·法瑟吉尔,戴维·阿滕伯勒,9.8,https://movie.douban.com/subject/30374707/, 美国 / 英国, 英语,2019
95,我在故宫修文物,萧寒,"王津,亓昊楠,屈峰,王五胜,王有亮",7.6,https://movie.douban.com/subject/26910059/, 中国大陆,,2016
96,人间世 第二季,"秦博,范士广,谢抒豪",,9.6,https://movie.douban.com/subject/27199784/, 中国大陆, 汉语普通话,2019
97,海昏侯,"张力,金蓓","娄硕,马昆,魏至强,王明,吴宁",8.7,https://movie.douban.com/subject/33377603/, 中国大陆, 汉语普通话,2019
98,港珠澳大桥,闫东,,,https://movie.douban.com/subject/30230160/, 中国大陆 / 香港 / 澳门,,2019
99,寿司之神,大卫·贾柏,"小野二郎 ,小野祯一",8.7,https://movie.douban.com/subject/6146955/, 美国,,2011
100,日本之耻,埃里卡·詹金,"伊藤诗织,安倍晋三",9.1,https://movie.douban.com/subject/30263943/, 英国,,2018
101,早餐中国,"王圣志,沈宏非",,7.8,https://movie.douban.com/subject/33393084/, 中国大陆, 汉语普通话,2019
102,人生一串 第一季,张岳明,,9.0,https://movie.douban.com/subject/27040844/, 中国大陆, 汉语普通话,2018
103,阿波罗11号,托德·道格拉斯·米勒,"巴兹·奥德林,琼·安·阿彻,珍妮特·阿姆斯特朗,尼尔·阿姆斯特朗,约翰尼·卡森",8.8,https://movie.douban.com/subject/30390701/, 美国,,2019
104,张艺谋和他的“影”,汪鹏,"张艺谋,赵小丁,陈敏正,马光荣,谷轩昭",7.1,https://movie.douban.com/subject/30255138/, 中国大陆,,2018
105,我在故宫修文物,"叶君,萧寒","王津,亓昊楠,屈峰,王五胜,王有亮",9.4,https://movie.douban.com/subject/26703457/, 中国大陆, 汉语普通话,2016
106,尺八·一声一世,聿馨,"佐藤康夫,小凑昭尚,蔡鸿文,徐浩鹏,海山",,https://movie.douban.com/subject/27185648/, 中国大陆,,2019
107,风味人间,"陈晓卿,陈磊","李立宏,陈晓卿,扶霞·邓洛普",9.1,https://movie.douban.com/subject/30156039/, 中国大陆, 汉语普通话,2018
108,我们诞生在中国,陆川,"周迅,约翰·卡拉辛斯基,Jo Frost",8.0,https://movie.douban.com/subject/26376454/, 美国 / 英国 / 中国大陆,,2016
109,街头绝味 第一季,,,7.6,https://movie.douban.com/subject/33394370/, 美国, 英语,2019
110,脸庞，村庄,"阿涅斯·瓦尔达,JR","阿涅斯·瓦尔达,JR,让-吕克·戈达尔",9.1,https://movie.douban.com/subject/26764928/, 法国,,2017
111,地球之盐,"维姆·文德斯,朱利安·诺里贝罗·萨尔加多","塞巴斯蒂昂·萨尔加多,维姆·文德斯,朱利安·诺里贝罗·萨尔加多",9.2,https://movie.douban.com/subject/10741871/, 法国 / 意大利 / 巴西,,2014
112,舌尖上的中国 第一季,"陈晓卿,任长箴,程工",李立宏,9.4,https://movie.douban.com/subject/10606004/, 中国大陆, 汉语普通话,2012
113,我们的星球,艾雷斯泰·法瑟吉尔,戴维·阿滕伯勒,9.8,https://movie.douban.com/subject/30374707/, 美国 / 英国, 英语,2019
114,我在故宫修文物,萧寒,"王津,亓昊楠,屈峰,王五胜,王有亮",7.6,https://movie.douban.com/subject/26910059/, 中国大陆,,2016
115,人间世 第二季,"秦博,范士广,谢抒豪",,9.6,https://movie.douban.com/subject/27199784/, 中国大陆, 汉语普通话,2019
116,海昏侯,"张力,金蓓","娄硕,马昆,魏至强,王明,吴宁",8.7,https://movie.douban.com/subject/33377603/, 中国大陆, 汉语普通话,2019
117,港珠澳大桥,闫东,,,https://movie.douban.com/subject/30230160/, 中国大陆 / 香港 / 澳门,,2019
118,寿司之神,大卫·贾柏,"小野二郎 ,小野祯一",8.7,https://movie.douban.com/subject/6146955/, 美国,,2011
119,日本之耻,埃里卡·詹金,"伊藤诗织,安倍晋三",9.1,https://movie.douban.com/subject/30263943/, 英国,,2018
120,重返·狼群,亦风,李微漪,8.3,https://movie.douban.com/subject/26920269/, 中国大陆,,2017
121,人生一串 第一季,张岳明,,9.0,https://movie.douban.com/subject/27040844/, 中国大陆, 汉语普通话,2018
122,阿波罗11号,托德·道格拉斯·米勒,"巴兹·奥德林,琼·安·阿彻,珍妮特·阿姆斯特朗,尼尔·阿姆斯特朗,约翰尼·卡森",8.8,https://movie.douban.com/subject/30390701/, 美国,,2019
123,张艺谋和他的“影”,汪鹏,"张艺谋,赵小丁,陈敏正,马光荣,谷轩昭",7.1,https://movie.douban.com/subject/30255138/, 中国大陆,,2018
124,我在故宫修文物,"叶君,萧寒","王津,亓昊楠,屈峰,王五胜,王有亮",9.4,https://movie.douban.com/subject/26703457/, 中国大陆, 汉语普通话,2016
125,尺八·一声一世,聿馨,"佐藤康夫,小凑昭尚,蔡鸿文,徐浩鹏,海山",,https://movie.douban.com/subject/27185648/, 中国大陆,,2019
126,风味人间,"陈晓卿,陈磊","李立宏,陈晓卿,扶霞·邓洛普",9.1,https://movie.douban.com/subject/30156039/, 中国大陆, 汉语普通话,2018
127,我们诞生在中国,陆川,"周迅,约翰·卡拉辛斯基,Jo Frost",8.0,https://movie.douban.com/subject/26376454/, 美国 / 英国 / 中国大陆,,2016
128,街头绝味 第一季,,,7.6,https://movie.douban.com/subject/33394370/, 美国, 英语,2019
129,脸庞，村庄,"阿涅斯·瓦尔达,JR","阿涅斯·瓦尔达,JR,让-吕克·戈达尔",9.1,https://movie.douban.com/subject/26764928/, 法国,,2017
