index,电影名字,电影导演,电影编辑,电影主演,电影类型,电影制片国家,电影语言,电影上映时间,电影片长,电影豆瓣评分,电影评价人数
0,李茶的姑妈,['吴昱翰'],"['钱晨光', '吴瑾蓉']","['黄才伦', '艾伦', '宋阳', '卢靖姗', '沈腾', '韩彦博', '陈冰', '张镨冉', '王宇', '赵雪', '常远', '王成思', '张琛', '魏玮', '陶亮', '朱微玮', '芦莹', '李海银', '何子君', '高海宝', '刘坤', '钱晨光', '乌日塔', '杨洁', '向斐', '何孟卓', '王野苓', '喜子', '张琳']",喜剧, 中国大陆, 汉语普通话,2018-09-30(中国大陆),113分钟,4.6,205819
1,比悲伤更悲伤的故事 比悲傷更悲傷的故事,['林孝谦'],['吕安弦'],"['陈意涵', '刘以豪', '张书豪', '陈庭妮', '吴映洁', '禾浩辰', '游大庆', '石知田', '黄丽玲', '姚爱宁']",爱情, 中国大陆, 汉语普通话,2019-03-14(中国大陆),片长:,4.8,77330
2,捉妖记2,['许诚毅'],"['吴炜伦', '陈咏燊', '苏亮']","['梁朝伟', '白百何', '井柏然', '李宇春', '杨祐宁', '大鹏', '吴君如', '曾志伟', '黄磊', '柳岩', '吴莫愁', '伍嘉成', '赵磊', '谷嘉诚', '彭楚粤', '陈泽希', '郭子凡', '肖战', '焉栩嘉', '夏之光', '姜超', '娄艺潇', '张俪']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,5,215307
3,小时代,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '郭碧婷', '谢依霖', '凤小岳', '李悦铭', '陈学冬', '姜潮', '杜天皓', '商侃', '王琳', '丁巧唯']",剧情, 中国大陆, 汉语普通话,语言:,2013-06-27(中国大陆),4.7,303514
4,分手大师,"['俞白眉', '邓超']",['俞白眉'],"['邓超', '杨幂', '古力娜扎', '栾元晖', '秦越', '许可嘉', '梁超', '赵曼竹', '孙俪', '柳岩', '谢楠']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,5,231555
5,人间·喜剧,['孙周'],"['曹鹏', '耿弘明', '孙周', '张宗铅']","['艾伦', '王智', '鲁诺', '任达华', '金士杰', '潘斌龙', '周显欣', '九孔', '董立范', '史航', '罗京民']",喜剧, 中国大陆, 汉语普通话,2019-03-29(中国大陆),90分钟,3.4,16011
6,变形金刚5：最后的骑士 Transformers: The Last Knight,['迈克尔·贝'],"['阿特·马库姆', '马特·霍洛维', '肯·诺兰', '阿齐瓦·高斯曼']","['马克·沃尔伯格', '伊莎贝拉·莫奈', '劳拉·哈德克', '安东尼·霍普金斯', '乔什·杜哈明', '彼特·库伦', '约翰·古德曼', '斯坦利·图齐', '桑地亚哥·卡布瑞拉', '吉尔·伯明翰', '渡边谦', '约翰·迪·玛吉欧', '弗兰克·维尔克', '米彻·佩勒吉']",动作, 中国大陆, 汉语普通话,语言:,2017-06-23(中国大陆),4.9,175211
7,爱情公寓,['韦正'],"['汪远', '邹杰', '王志宏', '张珮珏']","['陈赫', '袁弘', '娄艺潇', '邓家佳', '孙艺洲', '李佳航', '李金铭', '刘天佐', '赵志伟', '张双利', '南派三叔', '韦正', '汪远', '朱桢', '于立', '榕榕', '罗姝涵', '许和琪', '刘雨昕', '张希雅', '孔雪儿', '关凯元', '张悠然', '三名制-5', '丧钟大师', '老驴', '张天馨', '刘宇馨', '陈旭明', '王思博', '赵子豪', '杨朕', '郝宇', '徐梦洁', '常钰', '韩丹', '严丰', '郭林钧']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,3.1,200475
8,长城 The Great Wall,['张艺谋'],"['马克斯·布鲁克斯', '爱德华·兹威克', '马歇尔·赫斯科维兹', '托尼·吉尔罗伊', '托马斯·图尔']","['马特·达蒙', '景甜', '佩德罗·帕斯卡', '刘德华', '威廉·达福', '张涵予', '鹿晗', '彭于晏', '林更新', '郑恺', '黄轩', '陈学冬', '王俊凯', '余心恬', '刘恩佳', '李亨', '李京沐', '纽曼·阿卡', '约翰尼·希科', '皮鲁·埃斯贝克']",动作, 中国大陆, 汉语普通话,语言:,2016-12-16(中国大陆),4.9,280958
9,小时代4：灵魂尽头,['郭敬明'],['郭敬明'],"['杨幂', '郭采洁', '陈学冬', '郭碧婷', '谢依霖', '李贤宰', '锦荣', '任言恺', '姜潮', '王琳', '商侃']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,4.6,117670
10,小时代2：青木时代,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '凤小岳', '郭碧婷', '谢依霖', '陈学冬', '王琳', '李悦铭', '商侃', '姜潮', '杜天皓', '杨菲洋', '丁巧唯']",剧情, 中国大陆, 汉语普通话,语言:,2013-08-08(中国大陆),4.9,172661
11,小时代3：刺金时代,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '陈学冬', '郭碧婷', '谢依霖', '李贤宰', '锦荣', '任言恺', '王琳', '姜潮', '商侃', '杜天皓']",剧情, 中国大陆, 汉语普通话,语言:,2014-07-17(中国大陆),4.4,163988
12,悟空传,['郭子健'],"['郭子健', '今何在', '黄海', '范文文', '黄智亨']","['彭于晏', '倪妮', '余文乐', '俞飞鸿', '欧豪', '郑爽', '乔杉', '杨迪', '巴音', '王德顺', '李尚恩', '张承阳']",剧情, 中国大陆, 汉语普通话,语言:,2017-07-13(中国大陆),5,174091
13,恶棍天使,"['俞白眉', '邓超']",['俞白眉'],"['邓超', '孙俪', '代乐乐', '梁超', '杨新鸣', '王砚辉', '许可嘉', '赵曼竹', '栾元晖', '张鹭', '王双宝']",喜剧, 中国大陆, 汉语普通话,2015-12-24(中国大陆),124分钟,4.1,113139
14,澳门风云3 賭城風雲III,"['王晶', '刘伟强']",['王晶'],"['周润发', '刘德华', '张家辉', '张学友', '余文乐', '李宇春', '刘嘉玲', '王诗龄', '向佐', '胡然', '元秋', '朴载相', '童菲', '罗家英', '卢海鹏']",喜剧, 中国大陆, 汉语普通话,上映日期:,2016-02-06(香港),4.1,92377
15,栀子花开,['何炅'],"['傲立', '南罗', '龚佳', '杨啸']","['李易峰', '张慧雯', '蒋劲夫', '魏大勋', '杜天皓', '张予曦', '李心艾', '宋轶', '张云龙', '柴格', '王佑硕', '李玟', '陈羽凡', '胡海泉', '尼查坤·抔勒威查固', '李晟', '李佳航', '刘昊然', '扈忠汉', '李偲菘', '李伟菘', '陈思成', '安淇尔', '秦沛', '陈伟强', '杨杰', '谢娜', '何炅']",爱情, 中国大陆, 汉语普通话,2015-07-10(中国大陆),107分钟,4.1,104404
16,致青春·原来你还在这里,['周拓如'],"['周拓如', '辛夷坞']","['吴亦凡', '刘亦菲', '金世佳', '李沁', '李梦', '郝劭文', '陈燃', '乔任梁']",剧情, 中国大陆, 汉语普通话,上映日期:,片长:,4.1,101483
17,功夫瑜伽,['唐季礼'],['唐季礼'],"['成龙', '李治廷', '张艺兴', '索努·苏德', '母其弥雅', '迪莎·帕塔尼', '艾米拉·达斯特', '尚语贤', '姜雯', '张国立']",喜剧, 中国大陆, 汉语普通话,语言:,2017-01-28(中国大陆),5,131996
18,神探蒲松龄,['严嘉'],"['刘伯翰', '简文']","['成龙', '阮经天', '钟楚曦', '林柏宏', '林鹏', '乔杉', '潘长江', '苑琼丹', '刘智福', '刘智满', '刘智堂', '姜嫄']",喜剧, 中国大陆, 汉语普通话,语言:,2019-02-05(中国大陆),3.9,46664
19,胖子行动队,['包贝尔'],"['张鹏', '刘智林']","['文章', '包贝尔', '郭京飞', '李成敏', '辣目洋子', '许君聪', '曾一竣', '张梦露', '戚玉武', '仓田保昭', '木幡龙', '宋佳', '文隽']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,4.2,54625
20,比悲伤更悲伤的故事 比悲傷更悲傷的故事,['林孝谦'],['吕安弦'],"['陈意涵', '刘以豪', '张书豪', '陈庭妮', '吴映洁', '禾浩辰', '游大庆', '石知田', '黄丽玲', '姚爱宁']",爱情, 中国大陆, 汉语普通话,2019-03-14(中国大陆),片长:,4.8,77331
21,捉妖记2,['许诚毅'],"['吴炜伦', '陈咏燊', '苏亮']","['梁朝伟', '白百何', '井柏然', '李宇春', '杨祐宁', '大鹏', '吴君如', '曾志伟', '黄磊', '柳岩', '吴莫愁', '伍嘉成', '赵磊', '谷嘉诚', '彭楚粤', '陈泽希', '郭子凡', '肖战', '焉栩嘉', '夏之光', '姜超', '娄艺潇', '张俪']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,5,215307
22,小时代,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '郭碧婷', '谢依霖', '凤小岳', '李悦铭', '陈学冬', '姜潮', '杜天皓', '商侃', '王琳', '丁巧唯']",剧情, 中国大陆, 汉语普通话,语言:,2013-06-27(中国大陆),4.7,303514
23,分手大师,"['俞白眉', '邓超']",['俞白眉'],"['邓超', '杨幂', '古力娜扎', '栾元晖', '秦越', '许可嘉', '梁超', '赵曼竹', '孙俪', '柳岩', '谢楠']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,5,231555
24,人间·喜剧,['孙周'],"['曹鹏', '耿弘明', '孙周', '张宗铅']","['艾伦', '王智', '鲁诺', '任达华', '金士杰', '潘斌龙', '周显欣', '九孔', '董立范', '史航', '罗京民']",喜剧, 中国大陆, 汉语普通话,2019-03-29(中国大陆),90分钟,3.4,16011
25,变形金刚5：最后的骑士 Transformers: The Last Knight,['迈克尔·贝'],"['阿特·马库姆', '马特·霍洛维', '肯·诺兰', '阿齐瓦·高斯曼']","['马克·沃尔伯格', '伊莎贝拉·莫奈', '劳拉·哈德克', '安东尼·霍普金斯', '乔什·杜哈明', '彼特·库伦', '约翰·古德曼', '斯坦利·图齐', '桑地亚哥·卡布瑞拉', '吉尔·伯明翰', '渡边谦', '约翰·迪·玛吉欧', '弗兰克·维尔克', '米彻·佩勒吉']",动作, 中国大陆, 汉语普通话,语言:,2017-06-23(中国大陆),4.9,175211
26,爱情公寓,['韦正'],"['汪远', '邹杰', '王志宏', '张珮珏']","['陈赫', '袁弘', '娄艺潇', '邓家佳', '孙艺洲', '李佳航', '李金铭', '刘天佐', '赵志伟', '张双利', '南派三叔', '韦正', '汪远', '朱桢', '于立', '榕榕', '罗姝涵', '许和琪', '刘雨昕', '张希雅', '孔雪儿', '关凯元', '张悠然', '三名制-5', '丧钟大师', '老驴', '张天馨', '刘宇馨', '陈旭明', '王思博', '赵子豪', '杨朕', '郝宇', '徐梦洁', '常钰', '韩丹', '严丰', '郭林钧']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,3.1,200475
27,长城 The Great Wall,['张艺谋'],"['马克斯·布鲁克斯', '爱德华·兹威克', '马歇尔·赫斯科维兹', '托尼·吉尔罗伊', '托马斯·图尔']","['马特·达蒙', '景甜', '佩德罗·帕斯卡', '刘德华', '威廉·达福', '张涵予', '鹿晗', '彭于晏', '林更新', '郑恺', '黄轩', '陈学冬', '王俊凯', '余心恬', '刘恩佳', '李亨', '李京沐', '纽曼·阿卡', '约翰尼·希科', '皮鲁·埃斯贝克']",动作, 中国大陆, 汉语普通话,语言:,2016-12-16(中国大陆),4.9,280958
28,小时代4：灵魂尽头,['郭敬明'],['郭敬明'],"['杨幂', '郭采洁', '陈学冬', '郭碧婷', '谢依霖', '李贤宰', '锦荣', '任言恺', '姜潮', '王琳', '商侃']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,4.6,117670
29,小时代2：青木时代,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '凤小岳', '郭碧婷', '谢依霖', '陈学冬', '王琳', '李悦铭', '商侃', '姜潮', '杜天皓', '杨菲洋', '丁巧唯']",剧情, 中国大陆, 汉语普通话,语言:,2013-08-08(中国大陆),4.9,172661
30,小时代3：刺金时代,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '陈学冬', '郭碧婷', '谢依霖', '李贤宰', '锦荣', '任言恺', '王琳', '姜潮', '商侃', '杜天皓']",剧情, 中国大陆, 汉语普通话,语言:,2014-07-17(中国大陆),4.4,163988
31,悟空传,['郭子健'],"['郭子健', '今何在', '黄海', '范文文', '黄智亨']","['彭于晏', '倪妮', '余文乐', '俞飞鸿', '欧豪', '郑爽', '乔杉', '杨迪', '巴音', '王德顺', '李尚恩', '张承阳']",剧情, 中国大陆, 汉语普通话,语言:,2017-07-13(中国大陆),5,174091
32,恶棍天使,"['俞白眉', '邓超']",['俞白眉'],"['邓超', '孙俪', '代乐乐', '梁超', '杨新鸣', '王砚辉', '许可嘉', '赵曼竹', '栾元晖', '张鹭', '王双宝']",喜剧, 中国大陆, 汉语普通话,2015-12-24(中国大陆),124分钟,4.1,113139
33,澳门风云3 賭城風雲III,"['王晶', '刘伟强']",['王晶'],"['周润发', '刘德华', '张家辉', '张学友', '余文乐', '李宇春', '刘嘉玲', '王诗龄', '向佐', '胡然', '元秋', '朴载相', '童菲', '罗家英', '卢海鹏']",喜剧, 中国大陆, 汉语普通话,上映日期:,2016-02-06(香港),4.1,92378
34,栀子花开,['何炅'],"['傲立', '南罗', '龚佳', '杨啸']","['李易峰', '张慧雯', '蒋劲夫', '魏大勋', '杜天皓', '张予曦', '李心艾', '宋轶', '张云龙', '柴格', '王佑硕', '李玟', '陈羽凡', '胡海泉', '尼查坤·抔勒威查固', '李晟', '李佳航', '刘昊然', '扈忠汉', '李偲菘', '李伟菘', '陈思成', '安淇尔', '秦沛', '陈伟强', '杨杰', '谢娜', '何炅']",爱情, 中国大陆, 汉语普通话,2015-07-10(中国大陆),107分钟,4.1,104404
35,致青春·原来你还在这里,['周拓如'],"['周拓如', '辛夷坞']","['吴亦凡', '刘亦菲', '金世佳', '李沁', '李梦', '郝劭文', '陈燃', '乔任梁']",剧情, 中国大陆, 汉语普通话,上映日期:,片长:,4.1,101483
36,功夫瑜伽,['唐季礼'],['唐季礼'],"['成龙', '李治廷', '张艺兴', '索努·苏德', '母其弥雅', '迪莎·帕塔尼', '艾米拉·达斯特', '尚语贤', '姜雯', '张国立']",喜剧, 中国大陆, 汉语普通话,语言:,2017-01-28(中国大陆),5,131996
37,神探蒲松龄,['严嘉'],"['刘伯翰', '简文']","['成龙', '阮经天', '钟楚曦', '林柏宏', '林鹏', '乔杉', '潘长江', '苑琼丹', '刘智福', '刘智满', '刘智堂', '姜嫄']",喜剧, 中国大陆, 汉语普通话,语言:,2019-02-05(中国大陆),3.9,46664
38,胖子行动队,['包贝尔'],"['张鹏', '刘智林']","['文章', '包贝尔', '郭京飞', '李成敏', '辣目洋子', '许君聪', '曾一竣', '张梦露', '戚玉武', '仓田保昭', '木幡龙', '宋佳', '文隽']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,4.2,54625
39,天气预爆,['肖央'],"['肖央', '黄苑', '张少初', '刘犇']","['肖央', '杜鹃', '常远', '小沈阳', '岳云鹏', '王小利', '衣云鹤', '蔡明']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,3.8,51846
40,捉妖记2,['许诚毅'],"['吴炜伦', '陈咏燊', '苏亮']","['梁朝伟', '白百何', '井柏然', '李宇春', '杨祐宁', '大鹏', '吴君如', '曾志伟', '黄磊', '柳岩', '吴莫愁', '伍嘉成', '赵磊', '谷嘉诚', '彭楚粤', '陈泽希', '郭子凡', '肖战', '焉栩嘉', '夏之光', '姜超', '娄艺潇', '张俪']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,5,215307
41,小时代,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '郭碧婷', '谢依霖', '凤小岳', '李悦铭', '陈学冬', '姜潮', '杜天皓', '商侃', '王琳', '丁巧唯']",剧情, 中国大陆, 汉语普通话,语言:,2013-06-27(中国大陆),4.7,303514
42,分手大师,"['俞白眉', '邓超']",['俞白眉'],"['邓超', '杨幂', '古力娜扎', '栾元晖', '秦越', '许可嘉', '梁超', '赵曼竹', '孙俪', '柳岩', '谢楠']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,5,231555
43,人间·喜剧,['孙周'],"['曹鹏', '耿弘明', '孙周', '张宗铅']","['艾伦', '王智', '鲁诺', '任达华', '金士杰', '潘斌龙', '周显欣', '九孔', '董立范', '史航', '罗京民']",喜剧, 中国大陆, 汉语普通话,2019-03-29(中国大陆),90分钟,3.4,16011
44,变形金刚5：最后的骑士 Transformers: The Last Knight,['迈克尔·贝'],"['阿特·马库姆', '马特·霍洛维', '肯·诺兰', '阿齐瓦·高斯曼']","['马克·沃尔伯格', '伊莎贝拉·莫奈', '劳拉·哈德克', '安东尼·霍普金斯', '乔什·杜哈明', '彼特·库伦', '约翰·古德曼', '斯坦利·图齐', '桑地亚哥·卡布瑞拉', '吉尔·伯明翰', '渡边谦', '约翰·迪·玛吉欧', '弗兰克·维尔克', '米彻·佩勒吉']",动作, 中国大陆, 汉语普通话,语言:,2017-06-23(中国大陆),4.9,175211
45,爱情公寓,['韦正'],"['汪远', '邹杰', '王志宏', '张珮珏']","['陈赫', '袁弘', '娄艺潇', '邓家佳', '孙艺洲', '李佳航', '李金铭', '刘天佐', '赵志伟', '张双利', '南派三叔', '韦正', '汪远', '朱桢', '于立', '榕榕', '罗姝涵', '许和琪', '刘雨昕', '张希雅', '孔雪儿', '关凯元', '张悠然', '三名制-5', '丧钟大师', '老驴', '张天馨', '刘宇馨', '陈旭明', '王思博', '赵子豪', '杨朕', '郝宇', '徐梦洁', '常钰', '韩丹', '严丰', '郭林钧']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,3.1,200475
46,长城 The Great Wall,['张艺谋'],"['马克斯·布鲁克斯', '爱德华·兹威克', '马歇尔·赫斯科维兹', '托尼·吉尔罗伊', '托马斯·图尔']","['马特·达蒙', '景甜', '佩德罗·帕斯卡', '刘德华', '威廉·达福', '张涵予', '鹿晗', '彭于晏', '林更新', '郑恺', '黄轩', '陈学冬', '王俊凯', '余心恬', '刘恩佳', '李亨', '李京沐', '纽曼·阿卡', '约翰尼·希科', '皮鲁·埃斯贝克']",动作, 中国大陆, 汉语普通话,语言:,2016-12-16(中国大陆),4.9,280958
47,小时代4：灵魂尽头,['郭敬明'],['郭敬明'],"['杨幂', '郭采洁', '陈学冬', '郭碧婷', '谢依霖', '李贤宰', '锦荣', '任言恺', '姜潮', '王琳', '商侃']",喜剧, 中国大陆, 汉语普通话,上映日期:,片长:,4.6,117670
